size, time test 1, time test 2
87, 1654720647825999.250, 1654720647826179.000
78, 1654720647826393.000, 1654720647826568.750
16, 1654720647826687.500, 1654720647826750.500
94, 1654720647826983.250, 1654720647827215.000
36, 1654720647827299.750, 1654720647827398.750
87, 1654720647827591.750, 1654720647827789.500
93, 1654720647828013.250, 1654720647828227.000
50, 1654720647828412.750, 1654720647828516.750
22, 1654720647828581.500, 1654720647828635.500
63, 1654720647828782.500, 1654720647828900.250
28, 1654720647828989.250, 1654720647829046.000
91, 1654720647829328.000, 1654720647829541.750
60, 1654720647829656.500, 1654720647829770.500
64, 1654720647829979.250, 1654720647830099.000
27, 1654720647830246.000, 1654720647830334.750
41, 1654720647830422.750, 1654720647830535.750
27, 1654720647830602.500, 1654720647830679.500
73, 1654720647830816.500, 1654720647830965.250
37, 1654720647831044.000, 1654720647831105.000
12, 1654720647831169.000, 1654720647831213.000
69, 1654720647831294.000, 1654720647831408.750
68, 1654720647831528.750, 1654720647831639.500
30, 1654720647831707.500, 1654720647831760.500
83, 1654720647831918.250, 1654720647832215.250
31, 1654720647832302.750, 1654720647832360.750
63, 1654720647832475.750, 1654720647832576.500
24, 1654720647832647.500, 1654720647832694.500
68, 1654720647832851.250, 1654720647832984.250
36, 1654720647833100.000, 1654720647833161.000
30, 1654720647833271.000, 1654720647833327.750
3, 1654720647833393.750, 1654720647833398.750
23, 1654720647833460.750, 1654720647833513.750
59, 1654720647833580.500, 1654720647833676.500
70, 1654720647833801.500, 1654720647842046.250
68, 1654720647842198.000, 1654720647842386.750
94, 1654720647842634.750, 1654720647842857.500
57, 1654720647843046.250, 1654720647843159.000
12, 1654720647843254.000, 1654720647843303.750
43, 1654720647843450.750, 1654720647843547.500
30, 1654720647843663.500, 1654720647843749.500
74, 1654720647844018.250, 1654720647844179.000
22, 1654720647844338.750, 1654720647844395.750
20, 1654720647844562.500, 1654720647844612.500
85, 1654720647844783.500, 1654720647844967.250
38, 1654720647845050.000, 1654720647845116.000
99, 1654720647845319.000, 1654720647845578.750
25, 1654720647845650.500, 1654720647845702.500
16, 1654720647845767.250, 1654720647845811.250
71, 1654720647845966.250, 1654720647846095.000
14, 1654720647846154.000, 1654720647846165.000
27, 1654720647846228.000, 1654720647846280.750
92, 1654720647846474.750, 1654720647846658.500
81, 1654720647846819.500, 1654720647846992.250
57, 1654720647847108.000, 1654720647847203.000
74, 1654720647847347.750, 1654720647847478.750
63, 1654720647847598.500, 1654720647847703.500
71, 1654720647847836.250, 1654720647847981.250
97, 1654720647848161.000, 1654720647848422.000
82, 1654720647848586.750, 1654720647848859.500
6, 1654720647848957.250, 1654720647849005.000
26, 1654720647849073.000, 1654720647849131.000
85, 1654720647858080.250, 1654720647858218.000
28, 1654720647858253.000, 1654720647858268.750
37, 1654720647858305.750, 1654720647858400.750
6, 1654720647858421.750, 1654720647858427.750
47, 1654720647858470.750, 1654720647858508.750
30, 1654720647858538.500, 1654720647858559.500
14, 1654720647858579.500, 1654720647858589.500
58, 1654720647858664.500, 1654720647858721.500
25, 1654720647858746.500, 1654720647858760.250
96, 1654720647858946.250, 1654720647859140.250
83, 1654720647859264.000, 1654720647859373.750
46, 1654720647859429.750, 1654720647859472.750
15, 1654720647859493.750, 1654720647859502.500
68, 1654720647859584.500, 1654720647859661.500
35, 1654720647859696.500, 1654720647859719.500
65, 1654720647859789.500, 1654720647859867.250
44, 1654720647859950.250, 1654720647859993.250
51, 1654720647860043.000, 1654720647860091.000
88, 1654720647860212.000, 1654720647860356.000
9, 1654720647860373.750, 1654720647860380.750
77, 1654720647860485.750, 1654720647860579.500
79, 1654720647860685.500, 1654720647860801.500
89, 1654720647860970.250, 1654720647861103.250
